Year,Commodity,State,Yield_lb_per_acre,Acres_Harvested,Price_in_CWT,HUMIDITY_%,PH_soil_type,Population
2018,OATS,ALABAMA,2016,"15,000",14.0625,74,6.9804,4891.628
2017,OATS,ALABAMA,1920,"10,000",12.6563,71,6.5030,4877.989
2016,OATS,ALABAMA,1760,"20,000",12.1875,70,7.0381,4866.824
2015,OATS,ALABAMA,1600,"20,000",14.0625,73,7.8402,4854.803
2014,OATS,ALABAMA,2080,"15,000",15.6250,74,6.9804,4843.737
2013,OATS,ALABAMA,1920,"20,000",12.1875,75,7.6285,4831.586
2022,CORN,ALABAMA,6608,"290,000",13.1429,75,7.0735,5073.903
2021,CORN,ALABAMA,9128,"320,000",10.5536,70,5.7008,5050.38
2020,CORN,ALABAMA,8848,"310,000",9.1786,70,5.7186,5031.864
2019,CORN,ALABAMA,8232,"285,000",7.1250,72,6.6853,4907.965
2018,CORN,ALABAMA,8736,"245,000",7.3393,70,6.3363,4891.628
2017,CORN,ALABAMA,9352,"235,000",7.3750,71,5.3862,4877.989
2016,CORN,ALABAMA,6720,"315,000",5.4286,73,7.5028,4866.824
2015,CORN,ALABAMA,8232,"245,000",6.9643,72,5.1087,4854.803
2014,CORN,ALABAMA,8904,"285,000",7.1607,73,6.9844,4843.737
2013,CORN,ALABAMA,8232,"295,000",7.3393,73,6.9480,4831.586
2022,WHEAT,ALABAMA,4320,"120,000",14.8333,72,7.0423,5073.903
2021,WHEAT,ALABAMA,4980,"110,000",11.7500,75,6.2491,5050.38
2020,WHEAT,ALABAMA,4320,"70,000",8.7500,74,6.9709,5031.864
2019,WHEAT,ALABAMA,4320,"85,000",8.4167,73,5.9539,4907.965
2018,WHEAT,ALABAMA,4320,"110,000",8.4167,72,5.8539,4891.628
2017,WHEAT,ALABAMA,4620,"100,000",7.8333,75,6.4425,4877.989
2016,WHEAT,ALABAMA,4200,"170,000",7.6667,76,5.0702,4866.824
2015,WHEAT,ALABAMA,4080,"220,000",7.9167,75,6.0126,4854.803
2014,WHEAT,ALABAMA,4140,"225,000",9.0833,76,6.2540,4843.737
2013,WHEAT,ALABAMA,4140,"285,000",9.5667,70,7.3755,4831.586
2017,OATS,ALASKA,2336,900,11.4063,77,7.7789,740.983
2016,OATS,ALASKA,1984,"1,200",11.5625,71,6.2865,742.575
2015,OATS,ALASKA,1504,"1,000",11.8750,77,7.0710,738.43
2014,OATS,ALASKA,1824,"1,000",11.5625,79,6.2448,737.075
2013,OATS,ALASKA,1200,400,11.7188,77,6.0433,737.626
