,Year,Commodity,State,Yield_lb_per_acre,Acres_Harvested,Price_in_CWT,HUMIDITY_%,PH_soil_type,Population,prop_aggressive
0,2018,OATS,ALABAMA,2016.0,15000,14.0625,74,6.980400905,4891.628,0.2420675537359263
1,2017,OATS,ALABAMA,1920.0,10000,12.65625,71,6.502985292,4877.989,0.23975044563279857
2,2016,OATS,ALABAMA,1760.0,20000,12.1875,70,7.038096361,4866.824,0.29819277108433734
3,2015,OATS,ALABAMA,1600.0,20000,14.0625,73,7.840207144,4854.803,0.32972972972972975
4,2014,OATS,ALABAMA,2080.0,15000,15.625,74,6.980400905,4843.737,0.3857442348008386
5,2013,OATS,ALABAMA,1920.0,20000,12.1875,75,7.628472891,4831.586,0.34908136482939633
6,2019,CORN,ALABAMA,8232.0,285000,7.125,72,6.685346424,4907.965,0.23389021479713604
7,2018,CORN,ALABAMA,8736.0,245000,7.339285714,70,6.336253525,4891.628,0.2420675537359263
8,2017,CORN,ALABAMA,9352.0,235000,7.375,71,5.386167788,4877.989,0.23975044563279857
9,2016,CORN,ALABAMA,6720.0,315000,5.428571429,73,7.50283396,4866.824,0.29819277108433734
10,2015,CORN,ALABAMA,8232.0,245000,6.964285714,72,5.108681786,4854.803,0.32972972972972975
11,2014,CORN,ALABAMA,8904.0,285000,7.160714286,73,6.98435366,4843.737,0.3857442348008386
12,2013,CORN,ALABAMA,8232.0,295000,7.339285714,73,6.94801983,4831.586,0.34908136482939633
13,2019,WHEAT,ALABAMA,4320.0,85000,8.416666667,73,5.953933276,4907.965,0.23389021479713604
14,2018,WHEAT,ALABAMA,4320.0,110000,8.416666667,72,5.85393208,4891.628,0.2420675537359263
15,2017,WHEAT,ALABAMA,4620.0,100000,7.833333333,75,6.442475375,4877.989,0.23975044563279857
16,2016,WHEAT,ALABAMA,4200.0,170000,7.666666667,76,5.070175667,4866.824,0.29819277108433734
17,2015,WHEAT,ALABAMA,4080.0,220000,7.916666667,75,6.012632591,4854.803,0.32972972972972975
18,2014,WHEAT,ALABAMA,4140.0,225000,9.083333333,76,6.254028451,4843.737,0.3857442348008386
19,2013,WHEAT,ALABAMA,4140.0,285000,9.566666667,70,7.375482851,4831.586,0.34908136482939633
20,2019,BARLEY,ARIZONA,6048.0,15000,8.645833333,46,6.271478838,7291.843,0.22862232779097388
21,2018,BARLEY,ARIZONA,4800.0,11000,8.0,52,7.224285503,7164.228,0.21467248908296943
22,2017,BARLEY,ARIZONA,6288.0,17000,8.145833333,52,6.13428721,7048.088,0.23097181985778245
23,2016,BARLEY,ARIZONA,6144.0,16000,8.458333333,39,5.206373153,6944.767,0.2945492662473795
24,2015,BARLEY,ARIZONA,5760.0,16000,8.645833333,42,7.782051313,6832.81,0.33464052287581697
25,2014,BARLEY,ARIZONA,6000.0,32000,9.25,45,7.062779015,6732.873,0.3440702781844802
26,2013,BARLEY,ARIZONA,5664.0,69000,10.6875,43,7.730367824,6634.69,0.30194805194805197
27,2019,CORN,ARIZONA,12936.0,37000,9.642857143,50,5.658169482,7291.843,0.22862232779097388
28,2018,CORN,ARIZONA,12320.0,20000,8.857142857,50,5.543360238,7164.228,0.21467248908296943
29,2017,CORN,ARIZONA,10920.0,32000,7.696428571,43,6.215109715,7048.088,0.23097181985778245
30,2016,CORN,ARIZONA,12040.0,50000,6.446428571,42,7.120272972,6944.767,0.2945492662473795
31,2015,CORN,ARIZONA,11760.0,36000,7.267857143,56,5.950647577,6832.81,0.33464052287581697
32,2014,CORN,ARIZONA,11760.0,28000,7.714285714,51,7.236705436,6732.873,0.3440702781844802
33,2013,CORN,ARIZONA,9912.0,51000,7.482142857,52,6.501697816,6634.69,0.30194805194805197
34,2019,WHEAT,ARIZONA,6240.0,35000,11.01666667,36,6.946209881,7291.843,0.22862232779097388
35,2018,WHEAT,ARIZONA,6156.0,77000,9.216666667,35,5.739175027,7164.228,0.21467248908296943
36,2017,WHEAT,ARIZONA,6048.0,105000,9.183333333,46,6.738652179,7048.088,0.23097181985778245
37,2016,WHEAT,ARIZONA,5868.0,103000,8.083333333,37,5.594819626,6944.767,0.2945492662473795
38,2015,WHEAT,ARIZONA,6060.0,152000,6.933333333,38,6.946636369,6832.81,0.33464052287581697
39,2014,WHEAT,ARIZONA,6606.0,83000,8.916666667,46,5.012139669,6732.873,0.3440702781844802
40,2013,WHEAT,ARIZONA,5964.0,84000,10.91666667,47,6.363472208,6634.69,0.30194805194805197
41,2019,OATS,ARKANSAS,2240.0,3000,8.75,64,7.283736617,3014.348,0.2972972972972973
42,2018,OATS,ARKANSAS,2400.0,7000,8.59375,64,7.023936392,3012.161,0.2318840579710145
43,2017,OATS,ARKANSAS,2720.0,8000,8.75,63,6.939083505,3003.855,0.27132867132867133
44,2016,OATS,ARKANSAS,2336.0,8000,6.71875,70,7.868474653,2991.815,0.3544973544973545
45,2015,OATS,ARKANSAS,1920.0,8000,9.21875,69,5.005306977,2979.732,0.37222222222222223
46,2014,OATS,ARKANSAS,2880.0,8000,12.34375,70,6.136131869,2968.759,0.3698630136986301
47,2013,OATS,ARKANSAS,2336.0,7000,10.625,64,7.524080076,2960.459,0.32160804020100503
48,2019,CORN,ARKANSAS,9800.0,735000,6.892857143,69,5.999969026,3020.985,0.2972972972972973
49,2018,CORN,ARKANSAS,10136.0,645000,6.785714286,69,5.453592032,3012.161,0.2318840579710145
50,2017,CORN,ARKANSAS,10248.0,595000,,72,6.372576327,3003.855,0.27132867132867133
51,2016,CORN,ARKANSAS,9576.0,745000,6.410714286,68,5.105588355,2991.815,0.3544973544973545
52,2015,CORN,ARKANSAS,10136.0,445000,5.375,69,5.935344406,2979.732,0.37222222222222223
53,2014,CORN,ARKANSAS,10472.0,530000,5.857142857,68,5.17782304,2968.759,0.3698630136986301
54,2013,CORN,ARKANSAS,10416.0,870000,5.964285714,67,6.462391607,2960.459,0.32160804020100503
55,2019,WHEAT,ARKANSAS,3120.0,50000,8.533333333,68,7.549873681,3020.985,0.2972972972972973
56,2018,WHEAT,ARKANSAS,3300.0,95000,,71,6.028321558,3012.161,0.2318840579710145
57,2017,WHEAT,ARKANSAS,3120.0,125000,8.166666667,68,6.604993475,3003.855,0.27132867132867133
58,2016,WHEAT,ARKANSAS,3240.0,115000,7.833333333,67,6.500343222,2991.815,0.3544973544973545
59,2015,WHEAT,ARKANSAS,3360.0,240000,8.0,65,5.935745417,2979.732,0.37222222222222223
60,2014,WHEAT,ARKANSAS,3780.0,395000,9.0,67,7.072655622,2968.759,0.3698630136986301
61,2013,WHEAT,ARKANSAS,3720.0,610000,9.5,68,5.333322606,2960.459,0.32160804020100503
62,2019,OATS,CALIFORNIA,1920.0,2000,,69,6.596060648,39503.2,0.2061391157420445
63,2018,OATS,CALIFORNIA,2240.0,6000,,70,5.970458434,39437.463,0.21320667759115117
64,2017,OATS,CALIFORNIA,2080.0,10000,9.0625,71,6.158830619,39337.785,0.25302046519273447
65,2016,OATS,CALIFORNIA,2080.0,11000,11.875,76,6.047906679,39149.186,0.3057829759584146
66,2015,OATS,CALIFORNIA,1920.0,10000,10.15625,61,5.913664501,38904.296,0.3259488516044958
67,2014,OATS,CALIFORNIA,3200.0,10000,10.0,67,5.855442401,38586.706,0.32690507395618795
68,2013,OATS,CALIFORNIA,2560.0,15000,10.5625,64,5.750254943,38253.768,0.3082536487166583
69,2019,BARLEY,CALIFORNIA,3168.0,47000,9.604166667,67,6.082973754,39437.61,0.2061391157420445
70,2018,BARLEY,CALIFORNIA,3312.0,24000,10.08333333,69,5.919045532,39437.463,0.21320667759115117
71,2017,BARLEY,CALIFORNIA,2400.0,29000,10.04166667,71,6.204747653,39337.785,0.25302046519273447
72,2016,BARLEY,CALIFORNIA,3600.0,60000,8.958333333,71,6.600827017,39149.186,0.3057829759584146
73,2015,BARLEY,CALIFORNIA,2640.0,29000,10.10416667,67,6.021902237,38904.296,0.3259488516044958
74,2014,BARLEY,CALIFORNIA,3504.0,25000,10.91666667,68,6.033550195,38586.706,0.32690507395618795
75,2013,BARLEY,CALIFORNIA,3600.0,42000,12.10416667,67,6.28886807,38253.768,0.3082536487166583
76,2019,CORN,CALIFORNIA,9408.0,60000,8.214285714,69,5.716222912,39437.61,0.2061391157420445
77,2018,CORN,CALIFORNIA,9688.0,65000,7.857142857,70,5.54990242,39437.463,0.21320667759115117
78,2017,CORN,CALIFORNIA,9352.0,80000,7.25,71,6.586244581,39337.785,0.25302046519273447
79,2016,CORN,CALIFORNIA,10360.0,100000,6.75,76,5.893093135,39149.186,0.3057829759584146
80,2015,CORN,CALIFORNIA,8792.0,60000,6.446428571,61,5.918263801,38904.296,0.3259488516044958
81,2014,CORN,CALIFORNIA,9240.0,95000,6.946428571,67,5.588650585,38586.706,0.32690507395618795
82,2013,CORN,CALIFORNIA,10696.0,180000,6.75,64,6.576418207,38253.768,0.3082536487166583
83,2019,WHEAT,CALIFORNIA,3564.0,122000,9.916666667,67,5.680361038,39437.61,0.2061391157420445
