,Year,Commodity,State,Yield_lb_per_acre,Acres_Harvested,Price_in_CWT,HUMIDITY_%,PH_soil_type,Population,prop_believer,prop_denier,prop_neutral
0,2018,OATS,ALABAMA,2016.0,15000,14.0625,74,6.980400905,4891.628,0.5496417604912999,0.18014329580348004,0.27021494370522003
1,2017,OATS,ALABAMA,1920.0,10000,12.65625,71,6.502985292,4877.989,0.5989304812834224,0.1657754010695187,0.23529411764705882
2,2016,OATS,ALABAMA,1760.0,20000,12.1875,70,7.038096361,4866.824,0.42771084337349397,0.19578313253012047,0.37650602409638556
3,2015,OATS,ALABAMA,1600.0,20000,14.0625,73,7.840207144,4854.803,0.3891891891891892,0.20270270270270271,0.4081081081081081
4,2014,OATS,ALABAMA,2080.0,15000,15.625,74,6.980400905,4843.737,0.2557651991614256,0.22012578616352202,0.5241090146750524
5,2013,OATS,ALABAMA,1920.0,20000,12.1875,75,7.628472891,4831.586,0.2755905511811024,0.1968503937007874,0.5275590551181102
6,2019,CORN,ALABAMA,8232.0,285000,7.125,72,6.685346424,4907.965,0.6157517899761337,0.11933174224343675,0.2649164677804296
7,2018,CORN,ALABAMA,8736.0,245000,7.339285714,70,6.336253525,4891.628,0.5496417604912999,0.18014329580348004,0.27021494370522003
8,2017,CORN,ALABAMA,9352.0,235000,7.375,71,5.386167788,4877.989,0.5989304812834224,0.1657754010695187,0.23529411764705882
9,2016,CORN,ALABAMA,6720.0,315000,5.428571429,73,7.50283396,4866.824,0.42771084337349397,0.19578313253012047,0.37650602409638556
10,2015,CORN,ALABAMA,8232.0,245000,6.964285714,72,5.108681786,4854.803,0.3891891891891892,0.20270270270270271,0.4081081081081081
11,2014,CORN,ALABAMA,8904.0,285000,7.160714286,73,6.98435366,4843.737,0.2557651991614256,0.22012578616352202,0.5241090146750524
12,2013,CORN,ALABAMA,8232.0,295000,7.339285714,73,6.94801983,4831.586,0.2755905511811024,0.1968503937007874,0.5275590551181102
13,2019,WHEAT,ALABAMA,4320.0,85000,8.416666667,73,5.953933276,4907.965,0.6157517899761337,0.11933174224343675,0.2649164677804296
