,Year,Commodity,State,Yield_lb_per_acre,Acres_Harvested,Price_in_CWT,HUMIDITY_%,PH_soil_type,Population,prop_topic_RO,prop_topic_GE,prop_topic_WE
0,2018,OATS,ALABAMA,2016.0,15000,14.0625,74,6.980400905,4891.628,0.5878489326765188,0.090311986863711,0.3218390804597701
1,2018,OATS,ALABAMA,2016.0,15000,14.0625,74,6.980400905,4891.628,0.11284046692607004,0.27348526959421904,0.613674263479711
2,2017,OATS,ALABAMA,1920.0,10000,12.65625,71,6.502985292,4877.989,0.5179856115107914,0.11510791366906475,0.3669064748201439
3,2017,OATS,ALABAMA,1920.0,10000,12.65625,71,6.502985292,4877.989,0.041970802919708027,0.13594890510948904,0.8220802919708029
4,2016,OATS,ALABAMA,1760.0,20000,12.1875,70,7.038096361,4866.824,0.3364485981308411,0.2336448598130841,0.42990654205607476
5,2016,OATS,ALABAMA,1760.0,20000,12.1875,70,7.038096361,4866.824,0.05128205128205128,0.20512820512820512,0.7435897435897436
6,2015,OATS,ALABAMA,1600.0,20000,14.0625,73,7.840207144,4854.803,0.22522522522522523,0.3153153153153153,0.4594594594594595
7,2015,OATS,ALABAMA,1600.0,20000,14.0625,73,7.840207144,4854.803,0.036312849162011177,0.17318435754189945,0.7905027932960894
8,2014,OATS,ALABAMA,2080.0,15000,15.625,74,6.980400905,4843.737,0.16666666666666666,0.2777777777777778,0.5555555555555556
9,2014,OATS,ALABAMA,2080.0,15000,15.625,74,6.980400905,4843.737,0.004310344827586207,0.11637931034482758,0.8793103448275862
10,2013,OATS,ALABAMA,1920.0,20000,12.1875,75,7.628472891,4831.586,0.015748031496062992,0.11811023622047244,0.8661417322834646
11,2019,CORN,ALABAMA,8232.0,285000,7.125,72,6.685346424,4907.965,0.1157495256166983,0.31309297912713474,0.571157495256167
12,2019,CORN,ALABAMA,8232.0,285000,7.125,72,6.685346424,4907.965,0.14148681055155876,0.14628297362110312,0.7122302158273381
13,2018,CORN,ALABAMA,8736.0,245000,7.339285714,70,6.336253525,4891.628,0.5878489326765188,0.090311986863711,0.3218390804597701
14,2018,CORN,ALABAMA,8736.0,245000,7.339285714,70,6.336253525,4891.628,0.11284046692607004,0.27348526959421904,0.613674263479711
15,2017,CORN,ALABAMA,9352.0,235000,7.375,71,5.386167788,4877.989,0.5179856115107914,0.11510791366906475,0.3669064748201439
16,2017,CORN,ALABAMA,9352.0,235000,7.375,71,5.386167788,4877.989,0.041970802919708027,0.13594890510948904,0.8220802919708029
17,2016,CORN,ALABAMA,6720.0,315000,5.428571429,73,7.50283396,4866.824,0.3364485981308411,0.2336448598130841,0.42990654205607476
18,2016,CORN,ALABAMA,6720.0,315000,5.428571429,73,7.50283396,4866.824,0.05128205128205128,0.20512820512820512,0.7435897435897436
19,2015,CORN,ALABAMA,8232.0,245000,6.964285714,72,5.108681786,4854.803,0.22522522522522523,0.3153153153153153,0.4594594594594595
20,2015,CORN,ALABAMA,8232.0,245000,6.964285714,72,5.108681786,4854.803,0.036312849162011177,0.17318435754189945,0.7905027932960894
21,2014,CORN,ALABAMA,8904.0,285000,7.160714286,73,6.98435366,4843.737,0.16666666666666666,0.2777777777777778,0.5555555555555556
22,2014,CORN,ALABAMA,8904.0,285000,7.160714286,73,6.98435366,4843.737,0.004310344827586207,0.11637931034482758,0.8793103448275862
23,2013,CORN,ALABAMA,8232.0,295000,7.339285714,73,6.94801983,4831.586,0.015748031496062992,0.11811023622047244,0.8661417322834646
24,2019,WHEAT,ALABAMA,4320.0,85000,8.416666667,73,5.953933276,4907.965,0.1157495256166983,0.31309297912713474,0.571157495256167
25,2019,WHEAT,ALABAMA,4320.0,85000,8.416666667,73,5.953933276,4907.965,0.14148681055155876,0.14628297362110312,0.7122302158273381
26,2018,WHEAT,ALABAMA,4320.0,110000,8.416666667,72,5.85393208,4891.628,0.5878489326765188,0.090311986863711,0.3218390804597701
27,2018,WHEAT,ALABAMA,4320.0,110000,8.416666667,72,5.85393208,4891.628,0.11284046692607004,0.27348526959421904,0.613674263479711
28,2017,WHEAT,ALABAMA,4620.0,100000,7.833333333,75,6.442475375,4877.989,0.5179856115107914,0.11510791366906475,0.3669064748201439
29,2017,WHEAT,ALABAMA,4620.0,100000,7.833333333,75,6.442475375,4877.989,0.041970802919708027,0.13594890510948904,0.8220802919708029
30,2016,WHEAT,ALABAMA,4200.0,170000,7.666666667,76,5.070175667,4866.824,0.3364485981308411,0.2336448598130841,0.42990654205607476
31,2016,WHEAT,ALABAMA,4200.0,170000,7.666666667,76,5.070175667,4866.824,0.05128205128205128,0.20512820512820512,0.7435897435897436
32,2015,WHEAT,ALABAMA,4080.0,220000,7.916666667,75,6.012632591,4854.803,0.22522522522522523,0.3153153153153153,0.4594594594594595
33,2015,WHEAT,ALABAMA,4080.0,220000,7.916666667,75,6.012632591,4854.803,0.036312849162011177,0.17318435754189945,0.7905027932960894
34,2014,WHEAT,ALABAMA,4140.0,225000,9.083333333,76,6.254028451,4843.737,0.16666666666666666,0.2777777777777778,0.5555555555555556
35,2014,WHEAT,ALABAMA,4140.0,225000,9.083333333,76,6.254028451,4843.737,0.004310344827586207,0.11637931034482758,0.8793103448275862
36,2013,WHEAT,ALABAMA,4140.0,285000,9.566666667,70,7.375482851,4831.586,0.015748031496062992,0.11811023622047244,0.8661417322834646
37,2019,BARLEY,ARIZONA,6048.0,15000,8.645833333,46,6.271478838,7291.843,0.5221774193548387,0.0907258064516129,0.3870967741935484
38,2019,BARLEY,ARIZONA,6048.0,15000,8.645833333,46,6.271478838,7291.843,0.5293923381770145,0.08652575957727873,0.38408190224570676
39,2018,BARLEY,ARIZONA,4800.0,11000,8.0,52,7.224285503,7164.228,0.5594132029339853,0.1432762836185819,0.29731051344743276
40,2018,BARLEY,ARIZONA,4800.0,11000,8.0,52,7.224285503,7164.228,0.6444979047027782,0.12952040974701226,0.22598168555020953
41,2017,BARLEY,ARIZONA,6288.0,17000,8.145833333,52,6.13428721,7048.088,0.27518959913326113,0.11700975081256772,0.6078006500541712
42,2017,BARLEY,ARIZONA,6288.0,17000,8.145833333,52,6.13428721,7048.088,0.3701333333333333,0.08995555555555555,0.5399111111111111
43,2016,BARLEY,ARIZONA,6144.0,16000,8.458333333,39,5.206373153,6944.767,0.3908450704225352,0.0880281690140845,0.5211267605633803
44,2016,BARLEY,ARIZONA,6144.0,16000,8.458333333,39,5.206373153,6944.767,0.6045966228893058,0.10928705440900563,0.2861163227016886
45,2015,BARLEY,ARIZONA,5760.0,16000,8.645833333,42,7.782051313,6832.81,0.32113821138211385,0.08943089430894309,0.5894308943089431
46,2015,BARLEY,ARIZONA,5760.0,16000,8.645833333,42,7.782051313,6832.81,0.5151943462897527,0.13356890459363957,0.3512367491166078
47,2014,BARLEY,ARIZONA,6000.0,32000,9.25,45,7.062779015,6732.873,0.1556420233463035,0.11673151750972763,0.7276264591439688
48,2014,BARLEY,ARIZONA,6000.0,32000,9.25,45,7.062779015,6732.873,0.2718006795016987,0.1755379388448471,0.5526613816534541
49,2013,BARLEY,ARIZONA,5664.0,69000,10.6875,43,7.730367824,6634.69,0.037337662337662336,0.25,0.7126623376623377
50,2019,CORN,ARIZONA,12936.0,37000,9.642857143,50,5.658169482,7291.843,0.5221774193548387,0.0907258064516129,0.3870967741935484
51,2019,CORN,ARIZONA,12936.0,37000,9.642857143,50,5.658169482,7291.843,0.5293923381770145,0.08652575957727873,0.38408190224570676
52,2018,CORN,ARIZONA,12320.0,20000,8.857142857,50,5.543360238,7164.228,0.5594132029339853,0.1432762836185819,0.29731051344743276
53,2018,CORN,ARIZONA,12320.0,20000,8.857142857,50,5.543360238,7164.228,0.6444979047027782,0.12952040974701226,0.22598168555020953
54,2017,CORN,ARIZONA,10920.0,32000,7.696428571,43,6.215109715,7048.088,0.27518959913326113,0.11700975081256772,0.6078006500541712
